,name,team,rank,$,points,risk,tier,outlook,position,points_per_dollar,risk_adjusted_points_per_dollar
1,Justin Herbert,LAC,2,35,357.9,0.03333333333333334,2,"Herbert finished the year on a tear with eight straight top-12 weeks in a row. He’s currently on a Hall of Fame trajectory: with the most completions (839), attempts (1267), passing yards (9,350), and passing TDs (69) through a QB’s first two years in the NFL.  Here are the players to throw for 5,000+ in a season before turning 24: Patrick Mahomes, Dan Marino, Matthew Stafford, & Herbert. The offensive line was massively improved and HC Brandon Staley is everything we want choosing aggressiveness on 4th down instead of simply punting things away.",QB,10.226,0.341
2,Kyler Murray,ARI,3,29,350.0,0.36666666666666664,2,"In 2021, Kyler started out hot as the Cardinals began the season 7-0 and he looked like a legit MVP candidate. He was the QB4 for fantasy through that span. However, the season turned on a dime, especially with Kyler missing three games and the season-ending injury to All-Pro WR DeAndre Hopkins. He was effective throwing the deep ball, tying Tom Brady for most 20+ yard completions (35), and completing a league-leading 49.3 of those attempts. He improved his overall completion rate, TD rate, yards per attempt, and passing yards per game but dropped to fewer than FIVE rushing attempts per game. If Kyler doesn’t run, his fantasy ceiling ultimately is capped. Heading into 2022, the Cardinals have a ton of question marks with Hopkins’ suspension so he might fall to a spot in your drafts where the value is there.",QB,12.069,4.425
3,Jalen Hurts,PHI,4,30,348.0,0.14444444444444443,2,"Hurts was among the most consistent fantasy QBs in 2021. He delivered 11 QB1 finishes despite only 16 total passing TDs. Much of that was thanks to leading all QBs in rushing yards (784) and rushing TDs (10). Hurts averaged 8.43 rushing fantasy points per game in his 15 starts.  If you include his four starts in 2020, that number jumps to 8.82. For context, through his 49 career starts, Lamar Jackson is at 8.6. With the arrival of A.J. Brown and DeVonta Smith in year 2, Hurts can take the next step forward as a capable passer translating to top-5 upside in fantasy.",QB,11.6,1.676
4,Patrick Mahomes,KC,5,29,344.1,0.14444444444444443,2,"It didn’t exactly feel like a top-5 QB season for Mahomes in 2021. You felt the ups and downs especially a stretch in the middle of the season where he was the QB18 from Weeks 7 to 12. Before then, he was on fire to start the year as the QB1 through Week 7 including 25+ fantasy points in five of his first six starts. The Chiefs’ defensive improvement was a big part of the story as KC allowed only 16.1 points per game from Week 8 on. He still was a QB1 each of the final five weeks of the season. He’s still among the elite for 2022 despite Tyreek Hill’s departure and Travis Kelce being a year older.",QB,11.866,1.714
5,Lamar Jackson,BAL,6,27,339.6,0.2222222222222222,3,"The Ravens suffered a litany of injuries across the board including Lamar missing the final five weeks of the season. He averaged the most passing attempts per game (31.8) of his career and he was on pace for nearly 1,100 rushing yards. This team is built around Lamar’s strength and with a schedule that definitely eases up in 2022, the Ravens should return to their former playoff selves. He is still an elite option although it’s possible he slips into the 5th/6th rounds in 2022 where we are happy to scoop him up as a difference-maker.",QB,12.578,2.795
6,Tom Brady,TB,7,25,330.5,0.1111111111111111,3,"At the ripe age of 44, Brady was the most consistent fantasy QB of 2021. He led the league in completions, attempts, passing yards (5316), and passing TDs (43). Not bad for an old-timer. He also came out of the gate on fire as a top-5 QB in six of 1st eight starts. The Tampa Bay offensive line is elite with Brady sporting the lowest sack rate in the NFL. There’s little reason to doubt him going into 2022. Oh, and he’s now got the personality and social media game to want to root for him even if he’s wounded your favorite NFL team in the past.",QB,13.22,1.469
7,Russell Wilson,DEN,8,22,326.5,0.30000000000000004,4,"In a new uniform with a new set of weapons, Wilson’s exodus from Seattle to Denver hopefully is a breath of fresh air and an opportunity for Mr. Unlimited to truly do as much cooking as he wants. He’s been a QB1 for fantasy every year of his career before last season’s injury. He’s an efficiency monster with a career TD rate of 6.2 percent. 35 passing TDs and 300+ rushing yards feel well within range even at this stage of his career. He’s safe but the ceiling is there to finish inside the top-5 at the position.",QB,14.841,4.452
8,Joe Burrow,CIN,9,20,320.2,0.25555555555555554,4,"Burrow’s final two weeks were the stuff of legends.  His Week 16 & 17 performances: 971 yards and eight TDs combined. To put those numbers in perspective, Tom Brady never had more than one game in a season hitting 400 & 4. Burrow did it in back-to-back games. In just his 2nd year in the league, he led the NFL in completion % (70.4), Yards per Pass Attempt (8.9) & 20+ Yard TDs (13). If there were any red flags, it’s the fact he led the NFL in sacks taken (51) including five games of 5+ sacks taken, most in a season over the last decade. He also bullied bottom-16 defenses with the largest split of fantasy points  (11.28) among top-10 QBs. While a TD rate more than doubling (3.2 to 6.5) usually is a sign of regression, he might be an outlier. His upside is immense as 5,000 passing yards & 40 TDs aren’t out of the question.",QB,16.01,4.091
9,Trey Lance,SF,10,17,312.9,0.7,4,"The public is split on Lance: is it a full go for him to take the reins of this Kyle Shanahan offense or is Jimmy Garoppolo sticking around because Lance simply isn't ready. Including this year's draft class, Lance would still be the youngest starting QB in the league at 22 years old. We only saw him in two brief starts but he managed to run the ball 24 combined times for 120 rushing yards which just shows you the type of upside you're looking for. He's worth a look as a late-round QB knowing you can pivot if things turn out horribly wrong with him under center. The reward outweighs the risk at his current ADP.",QB,18.406,12.884
10,Dak Prescott,DAL,11,17,309.6,0.25555555555555554,4,"Dak had some monster games in 2021 returning from a major injury with a 38 percent ‘great game rate’, he trailed only Josh Allen and Tom Brady among top-10 QBs. With the highest completion rate (69%) and TD rate (6.2%) of his career, he bounced back nicely. Dallas led NFL in points per game (31.2)  including seven games of 35+ points. He hit a lull from Weeks 13-15 but finished strong in the final three weeks:  QB2, QB5, and QB1. He’s one of the safest QBs in fantasy and the Dallas offense (with OC Kellen Moore) is going to flow through the arm of Dak. If he runs for 200+ and scores 4-5 on the ground, Dak could enter the elite tier again in 2022.",QB,18.212,4.654
