"Name","Team","Bye Week","Rank","$","Points","Risk","Tier","Outlook","Dynasty","Markers"
"Mark Andrews","BAL","10","1","$31","220.4","1.7","1","Andrews is coming off the TE1 season and was a true league winner a year ago. He set career highs in red zone targets, 10-zone targets, and red zone TD receptions. With Marquise Brown vacating a 26% target share and Andrews holding down his role as the team's leading weapon near the goal line, he's got as good a chance as anyone to repeat as fantasy's top TE.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Travis Kelce","KC","8","2","$29","213.0","1.7","1","Last year was the first time since 2016 that he didn't finish as the TE1...what a loser! His TE2 finish last season was still an obvious difference maker in fantasy. Ask any of your league mates - when they see Kelce in your lineup, it's terrifying. Now, he'll be playing a full season without Tyreek Hill and a bunch of unproven/role player WRs on the depth chart. Kelce could go absolutely nuclear in 2022 even at 32 years old.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Dalton Schultz","DAL","9","3","$15","173.9","2.0","2","The doctor is in! Dr. Schultz is set up for success in 2022 after a breakout campaign a year ago. After running the third most routes run among all TEs last season, the opportunity ahead for Schultz in a good offense is massive. The Cowboys are vacating 181 WR targets AND 44% (!!) of their targets from inside the 10-yard line, giving him paths to both an increase in target share and TDs in 2022. We're extremely bullish on Schultz if you miss out on one of the top three guys this year, especially considering Michael Gallup is recovering from a late-season ACL injury.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kyle Pitts","ATL","14","4","$15","173.8","3.3","2","Oh, no big deal. All Kyle Pitts did a season ago is post the 2nd best rookie receiving season for a TE ever, behind only Mike Ditka. With the lack of available playmakers in the offense, Pitts should go over 1,000 yards again this year, but the TD upside is a concern. We're not exactly excited about the upside of an offense run by a combination of Marcus Mariota and 3rd round rookie, Desmond Ridder. That said, from an analytics standpoint, Pitts is a screaming positive regression candidate in the TD department. He saw the 4th most targets a year ago among all TEs and scored just once.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Darren Waller","LV","6","5","$13","167.2","3.3","2","Waller was the consensus TE2 entering the 2021 season and failed to deliver on that ADP. He missed Weeks 13-17 during fantasy crunch time with a knee injury but is fully healthy to enter the season. While Waller is still one of few TEs can separate at the position, he's typically been a volume guy. Will he see that same volume with Davante Adams now on the roster? His biggest target competition in 2020 when he was the TE2 was Nelson Agholor and in 2019 when he was the TE3, it was Tyrell Williams.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"George Kittle","SF","9","6","$12","166.9","4.7","2","As is the case most years, Kittle is one of just a few TEs who has the upside that actually makes you excited to roster a TE in fantasy. His ADP got a little out of control last season when he was a 2nd round pick in fantasy, but now that his ADP is a bit more palatable, it makes sense to buy back into Kittle this year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"T.J. Hockenson","DET","6","7","$9","154.2","3.0","3","Don't look now, but the Lions quietly have a sneaky good group of young weapons and that includes T.J. Hockenson. Hock enters his fourth year in the NFL, which is typically when breakout seasons happen for the position. If you miss out on one of the elite TEs at the top, we don't mind taking a shot on the Hockstrap who has shown an ability to earn targets in his young career. He only played in 12 games a year ago but was on pace to earn 100+ targets for a second straight season, and that's more than you can say for a lot of TEs in the NFL.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Dallas Goedert","PHI","7","8","$7","150.0","3.3","3","For the last two years, Goedert fantasy managers have been wanting to kick Zach Ertz to the curb in hopes that he would have the TE1 role to himself. We finally saw it last year when Ertz was shipped off to Arizona, and Goedert capitalized on his opportunity. His 830 receiving yards were a career high and ranked 5th among all TEs last season, and what's most impressive about this is that he's the only TE who saw less than 75 targets to eclipse 700 receiving yards a year ago. Not surprisingly, his 2.33 yards per route run was an elite metric and ranked #1 among all TEs. Goedert is a proven pass catcher, but the addition of A.J. Brown into this lineup is going to make the target volume difficult, suggesting a regression in efficiency is likely.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Zach Ertz","ARI","13","9","$7","149.9","3.3","3","Ertz was a forgotten man in fantasy to enter the season when he was in Philly, then he was traded mid-season to the Cardinals and saw a ton of volume. From Week 7 on after he was traded, Ertz was the TE6 in fantasy land. With DeAndre Hopkins out for the first six weeks to start the year, Ertz figures to be a focal point of Arizona's passing attack yet again after the team signed him to a 3-year extension this off-season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Cole Kmet","CHI","14","10","$5","144.1","3.3","3","Jimmy Grandpa and his bedpan are finally in a retirement home, which should open up some scoring opportunities for Cole Kmet in the red zone. A year ago, 25 TEs saw at least 50 targets. Kmet is the only one who didn't score a single TD, making him an obvious positive regression candidate...that is, assuming the Bears can actually get into the red zone this year. He feels like one of those guys you can talk yourself into later in your draft, especially when you consider this team's WR2 is Byron Pringle (don't laugh), but the reality is, the floor is probably lower than it may seem on what projects to be a bad Bears offense.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Dawson Knox","BUF","7","11","$5","141.3","3.3","3","Prior to 2021, the Bills' offense barely featured the TE position, but that should change after Knox proved to be a top pass catcher at the position, especially near the goal line. Knox's 2021 season is eerily similar to that of Robert Tonyan from 2020. Knox caught just 49 passes a season ago. Nine of them were for a TD, which is basically what led to his breakout season. To put this in perspective, Knox caught a TD pass on 18% of his receptions, which is highly unlikely to be repeated, even in the Bills high-powered offense. Unless we see more volume for Knox, he could disappoint relative to his TE8 finish a year ago.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Pat Freiermuth","PIT","9","12","$2","133.2","3.2","4","Could the MUTH have been any more LUTH in 2021? For how fun it is to say that, let's hope he gets even more LUTH in 2022. With Eric Ebron on the roster last year, the MUTH didn't turn into an every down player until the back half of the year, but now Ebron is out of the way, and we expect Freiuermuth's route rate to increase quite a bit this season. It's encouraging how Pittsburgh used him last year. His nine targets inside the 10-zone tied for 2nd most at the position. The big stain on his 2022 outlook is playing with a rookie QB. This offense could be nerfed for at least a year as Kenny Pickett adjusts to life in the NFL.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Hunter Henry","NE","10","13","$1","128.2","4.0","4","Hunter Henry saw just 4.4 targets per game last year, yet he finished as the TE9 thanks to his 9 receiving TD a year ago. We would expect some regression in that department for 'ol Unter based on his lack of volume. Because the TE position is so weak for fantasy, any TE that can find the end zone regularly is in play as a weekly streamer.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Noah Fant","SEA","11","14","$1","126.5","3.7","4","Death, taxes, and fantasy managers claiming, ""THIS is the year Noah Fant breaks out."" To be fair, he does have that athletic profile we love in young TEs, but man, doesn't Noah Fant just feel uninspiring in 2022? It's a run-first team, Drew Lock or Geno Smith will be under center, and he's competing with DK Metcalf and Tyler Lockett for targets. It feels like a lot has to go right for Fant to break into the top 8 at the position. We'll take the under.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Irv Smith Jr.","MIN","7","15","$1","124.8","5.7","4","Sad times. We never got to see the BIG IRV breakout last year after he suffered a meniscus injury that required surgery. He never played in 2021. Now he enters his fourth year in the NFL (3rd playing season) with an opportunity to play as the Vikings' every down TE. Tyler Conklin is in New York and while that may seem super appetizing for Irv's fantasy outlook, we need to remember that Kirk Cousins' TE hasn't seen a 15+% target share since Jordan Reed did it in 2015. We like Irv as a back-end TE1 this year, but we know that isn't necessarily a difference maker at the position.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Gerald Everett","LAC","8","16","$1","121.3","4.0","4","Everett signed with the Chargers this off-season after playing in Seattle a year ago. If you're looking for late-round TEs who have a path to an outlier TD season, Everett certainly fits the bill as he'll be catching balls from Justin Herbert in a high-powered offense. That said, he's never earned more than a 15% target share, so he probably won't see enough volume to make a leap into the top-8.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mike Gesicki","MIA","11","17","$1","119.9","3.3","4","Gesicki has quietly been pretty solid for fantasy over the last three years, finishing inside the top-12 three straight seasons. However, we're a bit lower on Gesicki in 2022 as we expect his 18.6% target share to regress this year. Tyreek Hill and Jaylen Waddle will probably command targets, which leaves far less volume for Gesicki this year compared to what he saw last year. We should get some solid streaming weeks, though.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Evan Engram","JAX","11","18","$1","118.8","6.7","4","Remember 2017? Whew, what a rookie season for Evan Engram. If you like rostering TEs whose name value is tied to production from FIVE YEARS AGO, then Engram is your dude. He's in Jacksonville on a one-year deal on an offense that was putrid in 2021. Maybe Engram has some low-end TE1 value but he's essentially a TE playing slot WR out there.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyler Higbee","LAR","7","19","$1","111.6","3.5","4","Higbee caught some steam last off-season as a breakout TE attached to a great offense. While he didn't quite live up to the hype, he also didn't kill you either. With Kupp and Robinson set to pace this team in targets, the volume may not be bankable for Higbee, but this team should find themselves in the red zone quite often and that's a lot more than you can say for a lot of these later round TEs.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Logan Thomas","WAS","14","20","$1","109.6","7.3","5","Thomas is recovering from an ACL injury that reportedly involved multiple structures in addition to the ACL. We expect him to either start slowly or miss regular season games to open the year, but we should know more in August. Those drafting early should probably avoid Thomas, but we know what he can do when healthy. Look for Thomas to be a possible waiver wire add halfway through the season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Albert Okwuegbunam","DEN","9","21","$1","107.5","5.7","5","Albert O is the new hotness in fantasy land after Noah Fant was traded to Seattle this off-season as he's now the de facto TE1 in Denver. Can he capitalize on the opportunity while playing with Russell Wilson? We've seen Wilson's TEs be fantasy viable in the past, but this WR room runs 4 deep in Denver with talented players like Tim Patrick and KJ Hamler waiting in the wings should anything happen to Courtland Sutton or Jerry Jeudy. Call us excited for the opportunity, yet skeptical of the breakout.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"David Njoku","CLE","9","22","$1","104.7","3.3","5","The Browns franchise tagged him and then signed him to a 4-year, $56.75 million extension making him the 5th highest paid TE in the league. Austin Hooper is off this roster, and now Deshaun Watson is the QB, creating a path for Njoku to operate as the primary receiving TE in Cleveland. Njoku is an athletic monster who's flashed at times during his pro career, but he's struggled to earn targets. Expect ""The Chief"" to be a popular late-round TE this summer, but if his ADP gets out of control, don't be afraid to fade the hype.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mo Alie-Cox","IND","14","23","$1","98.9","3.7","5","Gigantor! Mo-Alie Cox is the largest human in existence. Ok, maybe not but he looks that way out on the football field and could have a chance to break through as more than just a fun story in 2022. Jack Doyle and his baby hands retired this off-season, and the WR depth chart behind Pitty City is barren. We're not necessarily drafting him, but he could be a fun streamer throughout the season","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
